ko,name,description,disease_category
"H00656","Scapuloperoneal myopathy","Scapuloperoneal syndrome encompasses a heterogeneous group of neuromuscular disorders all characterized by slowly progressive weakness in the shoulder-girdle and peroneal muscles. Both neurogenic and myopathic scapuloperoneal syndromes exist, the latter being referred to as scapuloperoneal myopathy (SPM). Distinct subtypes of SPM are caused by mutations in the sarcomeric muscle proteins desmin and myosin heavy chain 7. The X-linked dominant form of SPM (XSPM) is caused by mutations in the FHL1 gene.","Nervous system disease; Musculoskeletal disease"
"H02101","Autosomal dominant sensory ataxia","Autosomal dominant sensory ataxia (ADSA) is a rare genetic condition that results in a progressive ataxia. ADSA is suggested to be caused by degeneration of the posterior columns of the spinal cord. The mutation in the RNF170 gene causes ADSA.","Nervous system disease"
"H00232","Hereditary stomatocytosis","Hereditary stomatocytosis (HSt) describes a group of hemolytic anemias with mouth-shaped red blood cells which fail to transport monovalent cations, such as sodium and potassium.","Hematologic disease"
"H01314","Rat-bite fever","Rat-bite fever is a systemic febrile zoonotic illness caused by either Streptobacillus moniliformis, common in Western countries, or Spirillum minus, which is the most prevalent pathogen in Asia. It is manifested by acute relapsing fever with migratory polyarthralgia. It is transmitted from rodents to humans either by rodent urine or from mucosal secretions.","Infectious disease"
"H01126","Familial renal glucosuria","Familial renal glucosuria (FRG) is a rare autosomal recessive disorder of the kidney characterized by decreased renal tubular resorption of glucose from the urine in the absence of hyperglycemia and any other signs of tubular dysfunction. The vast majority of affected individuals are asymptomatic, but there is a rare propensity to develop hypoglycemia and hypovolemia. FRG is associated with mutations in the SGLT2 gene.","Urinary system disease; Inherited metabolic disease"
"H01542","Bolivian hemorrhagic fever","Bolivian hemorrhagic fever is an infectious disease caused by Machupo virus (MACV), a New World arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. MACV was first isolated in 1963 in Bolivia.","Infectious disease"
"H00490","Diaphyseal dysplasia with anemia","Diaphyseal dysplasia with anemia (Ghosal) is characterized by increased bone density associated with myelophthisic anemia. Mutation in TBXAS1, which encodes thromboxane synthase, has been reported.","Musculoskeletal disease"
"H01770","Macular dystrophy","The inherited macular dystrophies are characterized by bilateral visual loss and the finding of generally symmetrical macular abnormalities visible either on ophthalmoscopy or on retinal angiographs.","Nervous system disease"
"H02155","Dyssegmental dysplasia","The dyssegmental dysplasia is a rare, autosomal recessive skeletal dysplasia with micromelia. There are two recognized types: the severe, lethal Silverman-Handmaker type (DDSH) and the milder Rolland-Desbuquois type. Individuals with DDSH also have a flat face, micrognathia, cleft palate and reduced joint mobility, and frequently have an encephalocele. DDSH is caused by a functional null mutation of perlecan gene (HSPG2).","Congenital malformation"
"H00602","Glucocorticoid-remediable aldosteronism (GRA)","Glucocorticoid-remediable aldosteronism (GRA), also known as familial hypoaldosteronism type I, is an autosomal dominant disease that causes hypertension, hypokalemia, decreased plasma renin activity and increased aldosterone levels. GRA is caused by a chimeric gene that links the 11 [beta]-hydroxylase promoter sequence to the aldosterone synthase gene's coding region. As a result, aldosterone is ectopically synthesized in the cortisol-secreting zona fasciculata of the adrenal gland under the control of adrenocorticotropin (ACTH). The high levels of mineralocorticoids activate the mineralocorticoid receptor (MR) and upregulate Na reabsorption and K secretion. Most individuals have severe hypertension since infancy but milder phenotypes have been described.","Endocrine disease"
"H00430","Fibrodysplasia ossificans progressiva","Fibrodysplasia ossificans progressiva (FOP) is a very rare disorder that leads to progressive ossification of muscle tissue and connective tissue. This process becomes noticeable in early childhood. Affected individuals harbor missense mutations in the ACVR1A gene that brings about constitutive activation of BMP type I receptor. FOP can be inherited in an autosomal dominant pattern.","Musculoskeletal disease"
"H02367","Chorea, childhood-onset, with psychomotor retardation","Chorea, childhood-onset, with psychomotor retardation (COCPMR) is a familial developmental disorder characterized by chorea, marked speech delay, and learning difficulties. Mutations in GPR88 are associated with COCPMR.","Nervous system disease"
"H00054","Nasopharyngeal cancer","Nasopharyngeal carcinoma (NPC) is a rare disease in most parts of the world, with an age-standardised annual incidence of less than 1 per 100000. However, in Southern China, parts of Southeast Asia and the Mediterranean basin, NPC is an endemic disease with an incidence of 10-30 per 100000. Genome-wide studies have unravelled multiple chromosomal abnormalities with involvement of specific oncogenes and tumor suppressor genes. Alterations of genes such as Ras association domain family 1A (RASSF1A), p16/INK4A, p14/ARF suggest that multiple cellular pathways were dysregulated in the NPC cells. Studies on the precancerous lesions revealed early genetic changes and a critical role of Epstein- Barr virus (EBV) latent infection in the development of this cancer.","Cancer"
"H01186","Abnormal thyroid hormone metabolism","Abnormal thyroid hormone metabolism is a disorder associated with an inherited selenocysteine (Sec) incorporation defect, caused by mutations in SECISBP2 (also called SBP2). Because SBP2 is epistatic to selenoprotein synthesis, these defects have a generalized effect on selenoproteins. Fibroblasts of affected patients show decreased deiodinase type 2 (DIO2) enzymatic activity not linked to the DIO2 locus.","Inherited metabolic disease"
"H00868","Stapes ankylosis with broad thumb and toes","This syndrome is characterized by conductive hearing loss due to congenital fixation of stapes, hyperopia, a hemicylindrical nose, broad thumbs and first toes. Noggin, the causative gene of several symphalangisms, has been implicated in the disease.","Congenital malformation"
"H00266","Hereditary spastic paraplegia","Hereditary spastic paraplegias (SPG) are a group of clinically and genetically diverse disorders characterized by progressive distal limb weakness and lower extremity spasticity.","Nervous system disease"
"H01172","Infantile ascending hereditary spastic paralysis","Infantile-onset ascending spastic paralysis (IAHSP) is a rare autosomal recessive early onset motor neuron disease caused by mutations in the gene ALS2. IAHSP is allelic to juvenile amyotrophic lateral sclerosis (JALS) [DS:H00058] and juvenile primary lateral sclerosis (JPLS) [DS:H00970]. IAHSP can be distinguished from those two disorders by the association of an infantile onset, at the age of walking achievement, with an ascending progression during childhood but a long survival during adulthood.","Nervous system disease"
"H00292","Hypertrophic cardiomyopathy","Hypertrophic cardiomyopathy (HCM) is a primary myocardial disorder with an autosomal dominant pattern of inheritance that is characterized by hypertrophy of the left ventricles with histological features of myocyte hypertrophy, myfibrillar disarray, and interstitial fibrosis. HCM is one of the most common inherited cardiac disorders, with a prevalence in young adults of 1 in 500. Hundreds of mutations in the genes that encode protein constituents of the sarcomere have been identified in HCM. These mutations increase the Ca2+ sensitivity of cardiac myofilaments. Increased myofilament Ca2+ sensitivity is expected to increase the ATP utilization by actomyosin at submaximal Ca2+ concentrations, which might cause an imbalance in energy supply and demand in the heart under severe stress. The inefficient use of ATP suggests that an inability to maintain normal ATP levels could be the central abnormality. This theory might be supported by the discovery of the role of a mutant PRKAG2 gene in HCM, which in active form acts as a central sensing mechanism protecting cells from depletion of ATP supplies. The increase in the myfilament Ca2+ sensitivity well account for the diastolic dysfunction of model animals as well as human patients of HCM. It has been widely proposed that left ventricular hypertrophy is not a primary manifestation but develops as compensatory response to sarcomere dysfunction.","Cardiovascular disease"
